scenario,time_hours,stored_energy_kWh,incoming_energy_kW,energy_demand_kW,power_generation_kW,energy_reference_kWh,storage_control_kW,grid_control_kW
base_case,0.0,10.0,0.0,5.0,8.0,10,-2.0,-2.0
base_case,0.5,6.550000000000001,3.05,5.0,8.261052384440102,10,-2.0,-2.0
base_case,1.0,4.642250000000001,6.200026192220051,5.0,8.517638090205041,10,-2.0,-2.0
base_case,1.5,4.3190518461100265,9.44684497540037,5.0,8.76536686473018,10,-2.0,-2.0
base_case,2.0,5.620879074579662,12.785059958011455,5.0,9.0,10,-2.0,-2.0
base_case,2.5,8.585304658212491,16.207209358431342,5.0,9.21752285801744,10,-2.0,-2.0
base_case,3.0,13.2459828141371,19.70389869385575,5.0,9.414213562373096,10,-2.0,-2.0
base_case,3.5,19.631702246994287,23.26396648810374,5.0,9.58670668058247,10,-2.0,-2.0
base_case,4.0,27.765526979811185,26.874680163513936,5.0,9.732050807568877,10,-2.0,-2.0
base_case,4.5,37.6640394266691,30.521958765663236,5.0,9.847759065022574,10,-2.0,-2.0
base_case,5.0,49.33669861236737,34.19061871051789,5.0,9.931851652578137,10,-2.0,-2.0
base_case,5.5,62.785324474564476,37.86463834970178,5.0,9.98288972274762,10,-1.9999999999997045,-2.0
base_case,6.0,78.00371702704268,41.52743682757857,5.0,10.0,10,-1.9999999999995957,-2.0
base_case,6.5,94.97741685569693,45.162162459302785,5.0,9.98288972274762,10,0.11196217253119316,-2.0
base_case,7.0,100.0,48.751985696083565,5.0,9.931851652578137,10,0.04644627001721107,-2.0
base_case,7.5,100.0,52.2803916654118,5.0,9.847759065022574,10,-0.085291628104475,-2.0
base_case,8.0,100.0,55.73146728126897,5.0,9.732050807568877,10,0.03660276941543855,-2.0
base_case,8.5,100.0,59.09017801224072,5.0,9.58670668058247,10,-0.09515247554794116,-2.0
base_case,9.0,100.0,62.34262957240955,5.0,9.414213562373096,10,0.0872340394201603,-2.0
base_case,9.5,100.0,65.476310057872,5.0,9.217522858017443,10,-0.004954297376242622,-2.0
base_case,10.0,100.0,68.480308386302,5.0,9.0,10,-0.018315114485136345,-2.0
base_case,10.5,100.0,71.34550530243898,5.0,8.76536686473018,10,-0.06757738014861094,-2.0
base_case,11.0,100.0,74.06473368177969,5.0,8.517638090205041,10,0.12141569989054472,-2.0
base_case,11.5,100.0,76.63290539006441,5.0,8.261052384440104,10,-0.015309266658123027,-2.0
base_case,12.0,100.0,79.04710252838382,5.0,8.0,10,-0.04251972710816592,-2.0
base_case,12.5,100.0,81.30663150309998,5.0,7.738947615559897,10,-0.03495867728638861,-2.0
base_case,13.0,100.0,83.41303899584892,5.0,7.4823619097949585,10,0.0528774671190483,-2.0
base_case,13.5,100.0,85.37008956078792,5.0,7.234633135269821,10,0.0362772197998838,-2.0
base_case,14.0,100.0,87.18370523281494,5.0,7.000000000000001,10,0.04100095216678751,-2.0
base_case,14.5,100.0,88.8618681804868,5.0,6.782477141982559,10,0.042800527007996934,-2.0
base_case,15.0,100.0,90.41448806967321,5.0,6.585786437626906,10,0.21266946089174507,-2.0
base_case,15.5,100.0,91.85323640778994,5.0,6.41329331941753,10,-0.04033392665271387,-2.0
base_case,16.0,100.0,93.1913507034208,5.0,6.267949192431123,10,-0.05082812805198623,-2.0
base_case,16.5,100.0,94.44341179260215,5.0,6.152240934977426,10,-0.08078796592470323,-2.0
base_case,17.0,100.0,95.62509814216484,5.0,6.068148347421864,10,0.06120770151023949,-2.0
base_case,17.5,100.0,96.75292133445413,5.0,6.017110277252379,10,0.11208542464994245,-2.0
base_case,18.0,100.0,97.84394725973577,5.0,6.0,10,-0.011280364610624895,-2.0
base_case,18.5,100.0,98.91550778713841,5.0,6.017110277252379,10,-0.08337884919889953,-2.0
base_case,19.0,100.0,99.98490784789321,5.0,6.068148347421863,10,-0.08182079482580333,-2.0
base_case,19.5,100.0,101.06913294312521,5.0,6.152240934977426,10,0.06461555902118334,-2.0
base_case,20.0,100.0,102.18456208118268,5.0,6.267949192431123,10,0.07378805345519272,-2.0
base_case,20.5,100.0,103.34669105658641,5.0,6.413293319417528,10,0.05396553556531143,-2.0
base_case,21.0,100.0,104.56987080572931,5.0,6.585786437626904,10,-0.0660727254681911,-2.0
base_case,21.5,100.0,105.86706531648547,5.0,6.782477141982558,10,0.023094257753044807,-2.0
base_case,22.0,100.0,107.24963323431189,5.0,6.999999999999999,10,0.011628327672780936,-2.0
base_case,22.5,100.0,108.72713690196876,5.0,7.234633135269821,10,0.021739314348286177,-2.0
base_case,23.0,100.0,110.30718210058399,5.0,7.482361909794957,10,0.08656590459401418,-1.999999999999932
base_case,23.5,100.0,111.99529123447566,5.0,7.738947615559897,10,0.02223770984882767,-0.14365080631516708
base_case,24.0,100.0,114.67657799691115,5.0,7.999999999999999,10,0.02223770984882767,-0.14365080631516708
peak_shaving,0.0,10.0,0.0,6.000000000000051,10.0,50,2.0,-2.0
peak_shaving,0.5,7.849999999999975,4.05,6.000000000002441,10.522104768880206,50,2.0,-2.0
peak_shaving,1.0,7.735749999998754,8.320552384440102,6.000000000091589,11.035276180410083,50,2.0,-2.0
peak_shaving,1.5,9.757347442173018,12.804984950800742,6.000000002676634,11.530733729460358,50,2.0,-2.0
peak_shaving,2.0,14.011053179024206,17.492301966022914,6.000000060919919,12.0,50,2.0,-2.0
peak_shaving,2.5,20.587148865680582,22.367378946362685,6.000001079831401,12.435045716034882,50,-2.0,-2.0
peak_shaving,3.0,27.76790205461782,27.4112280149165,6.000014906612688,12.82842712474619,50,-1.999999999999723,-2.0
peak_shaving,3.5,37.43466909849676,32.60132929714043,6.0001602611895715,13.17341336116494,50,-1.9999999999999465,-2.0
peak_shaving,4.0,49.64808027097973,37.9120226847515,6.00134185051161,13.464101615137753,50,-1.9999999999999323,-2.0
peak_shaving,4.5,64.4551802867448,43.31495326547286,6.008749964472732,13.695518130045148,50,-1.9999999999997604,-2.0
peak_shaving,5.0,81.88600603581125,48.779562797840704,6.044435986152969,13.863703305156273,50,0.08467350055360295,-2.0
peak_shaving,5.5,100.0,54.27361882244043,6.17574773449363,13.965779445495242,50,0.0748835890379119,-2.0
peak_shaving,6.0,100.0,59.76377235696365,6.541341132946451,14.0,50,0.006314168147255462,-2.0
peak_shaving,6.5,100.0,65.216134633394,7.298609869433399,13.965779445495242,50,0.10863950038126266,-2.0
